hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[5s,7c,4c,3s,4d]",1,"[5s,7c,4c,3s]","[5s,7c,4c,3s,2s]",CNN_4,0.312719,1,0,0,draw,1000.0,0,0.0,500.0,,1010010,1100.0,2200.0,600.0,1600.0,1000.0,600.0
"[8c,7d,3h,5h,4h]",0,,,man,0.3,0,4,4,bet_big,1000.0,200.0,5.0,500.0,,1010010,1100.0,0.0,600.0,-600.0,-200.0,-400.0
"[5s,7c,4c,3s,2s]",0,,,CNN_4,0.933486,1,4,4,raise_big,1200.0,400.0,3.0,500.0,1,10100101,1100.0,2200.0,600.0,1600.0,1200.0,400.0
"[8c,7d,3h,5h,4h]",0,,,man,0.3,0,4,4,raise_big,1600.0,400.0,4.0,700.0,11,101001011,1100.0,0.0,400.0,-400.0,-400.0,0.0
"[5s,7c,4c,3s,2s]",0,,,CNN_4,0.933486,1,4,4,call_big,2000.0,200.0,10.0,900.0,111,1010010111,1100.0,2200.0,200.0,2000.0,2000.0,0.0
"[6h,Kh,4s,3d,5s]",3,,,CNN_4,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,700.0,0.0,700.0,-700.0,-100,-600.0
"[Ts,5d,4h,Qc,Tc]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,700.0,1400.0,700.0,700.0,100.0,600.0
"[Ts,5d,4h,Qc,Tc]",3,,,man,0.3,1,0,0,call_small,150.0,50.0,3.0,50.0,,,700.0,1400.0,650.0,750.0,150.0,600.0
"[6h,Kh,4s,3d,5s]",3,,,CNN_4,0.507352,0,0,0,raise_small,200.0,100.0,2.0,100.0,0,0,700.0,0.0,600.0,-600.0,-100.0,-500.0
"[Ts,5d,4h,Qc,Tc]",3,,,man,0.3,1,0,0,call_small,300.0,100.0,3.0,100.0,01,01,700.0,1400.0,600.0,800.0,300.0,500.0
"[6h,Kh,4s,3d,5s]",3,"[6h,4s,3d,5s]","[6h,4s,3d,5s,Kd]",CNN_4,0.507352,0,0,0,draw,400.0,0,0.0,200.0,,010,700.0,0.0,500.0,-500.0,0,-500.0
